"country","Region"
"Afghanistan","Asia and the Pacific"
"Albania","Eastern Europe and central Asia"
"Algeria","Middle East and North Africa"
"Angola","Eastern and southern Africa"
"Argentina","Latin America"
"Armenia","Eastern Europe and central Asia"
"Australia","Asia and the Pacific"
"Austria","Western and central Europe and North America"
"Azerbaijan","Eastern Europe and central Asia"
"Bahamas","Caribbean"
"Bahrain","Middle East and North Africa"
"Bangladesh","Asia and the Pacific"
"Barbados","Caribbean"
"Belarus","Eastern Europe and central Asia"
"Belgium","Western and central Europe and North America"
"Belize","Caribbean"
"Benin","Western and central Africa"
"Bhutan","Asia and the Pacific"
"Bolivia","Latin America"
"Bosnia and Herzegovina","Eastern Europe and central Asia"
"Botswana","Eastern and southern Africa"
"Brazil","Latin America"
"Brunei Darussalam","Asia and the Pacific"
"Bulgaria","Western and central Europe and North America"
"Burkina Faso","Western and central Africa"
"Burundi","Western and central Africa"
"Cambodia","Asia and the Pacific"
"Cameroon","Western and central Africa"
"Canada","Western and central Europe and North America"
"Cape Verde","Western and central Africa"
"Central African Republic","Western and central Africa"
"Chad","Western and central Africa"
"Chile","Latin America"
"China","Asia and the Pacific"
"Colombia","Latin America"
"Comoros","Eastern and southern Africa"
"Congo","Western and central Africa"
"Costa Rica","Latin America"
"Croatia","Western and central Europe and North America"
"Cuba","Caribbean"
"Cyprus","Western and central Europe and North America"
"Czech Republic","Western and central Europe and North America"
"Côte d'Ivoire","Western and central Africa"
"Dem. People's Republic of Korea","Asia and the Pacific"
"Democratic Republic of the Congo","Western and central Africa"
"Denmark","Western and central Europe and North America"
"Djibouti","Middle East and North Africa"
"Dominican Republic","Caribbean"
"Ecuador","Latin America"
"Egypt","Middle East and North Africa"
"El Salvador","Latin America"
"Equatorial Guinea","Western and central Africa"
"Eritrea","Eastern and southern Africa"
"Estonia","Western and central Europe and North America"
"Ethiopia","Eastern and southern Africa"
"Fiji","Asia and the Pacific"
"Finland","Western and central Europe and North America"
"France","Western and central Europe and North America"
"Gabon","Western and central Africa"
"Gambia","Western and central Africa"
"Georgia","Eastern Europe and central Asia"
"Germany","Western and central Europe and North America"
"Ghana","Western and central Africa"
"Greece","Western and central Europe and North America"
"Guatemala","Latin America"
"Guinea","Western and central Africa"
"Guinea-Bissau","Western and central Africa"
"Guyana","Caribbean"
"Haiti","Caribbean"
"Honduras","Latin America"
"Hungary","Western and central Europe and North America"
"Iceland","Western and central Europe and North America"
"Indonesia","Asia and the Pacific"
"Iran (Islamic Republic of)","Asia and the Pacific"
"Iraq","Middle East and North Africa"
"Ireland","Western and central Europe and North America"
"Israel","Western and central Europe and North America"
"Italy","Western and central Europe and North America"
"Jamaica","Caribbean"
"Japan","Asia and the Pacific"
"Jordan","Middle East and North Africa"
"Kazakhstan","Eastern Europe and central Asia"
"Kenya","Eastern and southern Africa"
"Kuwait","Middle East and North Africa"
"Kyrgyzstan","Eastern Europe and central Asia"
"Lao People's Democratic Republic","Asia and the Pacific"
"Latvia","Western and central Europe and North America"
"Lebanon","Middle East and North Africa"
"Lesotho","Eastern and southern Africa"
"Liberia","Western and central Africa"
"Libyan Arab Jamahiriya","Middle East and North Africa"
"Lithuania","Western and central Europe and North America"
"Luxembourg","Western and central Europe and North America"
"Madagascar","Eastern and southern Africa"
"Malawi","Eastern and southern Africa"
"Malaysia","Asia and the Pacific"
"Maldives","Asia and the Pacific"
"Mali","Western and central Africa"
"Malta","Western and central Europe and North America"
"Mauritania","Western and central Africa"
"Mauritius","Eastern and southern Africa"
"Mexico","Latin America"
"Mongolia","Asia and the Pacific"
"Montenegro","Eastern Europe and central Asia"
"Morocco","Middle East and North Africa"
"Mozambique","Eastern and southern Africa"
"Myanmar","Asia and the Pacific"
"Namibia","Eastern and southern Africa"
"Nepal","Asia and the Pacific"
"Netherlands","Western and central Europe and North America"
"New Zealand","Asia and the Pacific"
"Nicaragua","Latin America"
"Niger","Western and central Africa"
"Nigeria","Western and central Africa"
"Norway","Western and central Europe and North America"
"Oman","Middle East and North Africa"
"Pakistan","Asia and the Pacific"
"Panama","Latin America"
"Papua New Guinea","Asia and the Pacific"
"Paraguay","Latin America"
"Peru","Latin America"
"Philippines","Asia and the Pacific"
"Poland","Western and central Europe and North America"
"Portugal","Western and central Europe and North America"
"Qatar","Middle East and North Africa"
"Republic of Korea","Asia and the Pacific"
"Republic of Moldova","Eastern Europe and central Asia"
"Romania","Western and central Europe and North America"
"Russian Federation","Eastern Europe and central Asia"
"Rwanda","Eastern and southern Africa"
"Saint Lucia","Caribbean"
"Saudi Arabia","Middle East and North Africa"
"Senegal","Western and central Africa"
"Serbia","Western and central Europe and North America"
"Sierra Leone","Western and central Africa"
"Singapore","Asia and the Pacific"
"Slovakia","Western and central Europe and North America"
"Slovenia","Western and central Europe and North America"
"Somalia","Middle East and North Africa"
"South Africa","Eastern and southern Africa"
"South Sudan","Eastern and southern Africa"
"Spain","Western and central Europe and North America"
"Sri Lanka","Asia and the Pacific"
"Sudan","Middle East and North Africa"
"Suriname","Caribbean"
"Swaziland","Eastern and southern Africa"
"Sweden","Western and central Europe and North America"
"Switzerland","Western and central Europe and North America"
"Syrian Arab Republic","Middle East and North Africa"
"São Tomé and Príncipe","Western and central Africa"
"TFYR Macedonia","Eastern Europe and central Asia"
"Tajikistan","Eastern Europe and central Asia"
"Thailand","Asia and the Pacific"
"Timor-Leste","Asia and the Pacific"
"Togo","Western and central Africa"
"Trinidad and Tobago","Caribbean"
"Tunisia","Middle East and North Africa"
"Turkey","Western and central Europe and North America"
"Turkmenistan","Eastern Europe and central Asia"
"Uganda","Eastern and southern Africa"
"Ukraine","Eastern Europe and central Asia"
"United Arab Emirates","Middle East and North Africa"
"United Kingdom","Western and central Europe and North America"
"United Republic of Tanzania","Eastern and southern Africa"
"United States of America","Western and central Europe and North America"
"Uruguay","Latin America"
"Uzbekistan","Eastern Europe and central Asia"
"Venezuela","Latin America"
"Viet Nam","Asia and the Pacific"
"Yemen","Middle East and North Africa"
"Zambia","Eastern and southern Africa"
"Zimbabwe","Eastern and southern Africa"
